hyperopt60min_fitness_scores,hyperopt60_mixed_scores,deap5_fitness_scores,deap15_fitness_scores,optuna5_mixed_scores,optuna5_fitness_scores,deap30_fitness_scores,deap60_fitness_scores,optuna15_fitness_scores,optuna30_fitness_scores,optuna60_fitness_scores,optuna15_mixed_scores,alpha_baseline_fitness_scores,alpha_baseline_mixed_scores,inductive_baseline_fitness_scores,inductive_baseline_mixed_scores,heuristic_baseline_fitness_scores,heuristic_baseline_mixed_scores,optuna30_mixed_scores,optuna60_mixed_scores,hyperopt5_fitness_scores,hyperopt15_fitness_scores,hyperopt30_fitness_scores,hyperopt60_fitness_scores,hyperopt5_mixed_scores,hyperopt15_mixed_scores,hyperopt30_mixed_scores
0.999898723704944,0.9849261456117956,1,1,0.5930470660645492,0.8622081326693758,1,1,1,1,1,0.9849261456117956,0.3712863909170443,0.4602848084348568,1.0,0.7590099195512842,0.8693273739751635,0.5637205730740699,0.9849261456117956,0.9849261456117956,1.0,1.0,1.0,1.0,0.9849261456117956,0.9849261456117956,0.9849261456117956
0.999964161635822,0.9849261456117956,1,1,0.5985030703840387,0.8655254372939544,1,1,1,1,1,0.9849261456117956,0.3799537094330367,0.4922014776505272,0.9997867487607128,0.7780191507696697,0.8780328130268389,0.5810945893411859,0.9849261456117956,0.9849261456117956,1.0,1.0,1.0,1.0,0.9849261456117956,0.9849261456117956,0.9849261456117956
0.9999485622469848,0.9849261456117956,1,1,0.6323327479449157,0.8804927311527883,1,1,1,1,1,0.9849261456117956,0.4307679933577897,0.4695588140046651,1.0,0.7490965302156635,0.8898748260531507,0.5627415337334085,0.9849261456117956,0.9849261456117956,1.0,1.0,1.0,1.0,0.9849261456117956,0.9849261456117956,0.9849261456117956
1.0,0.9849261456117956,1,1,0.6301749631759771,0.8864254176239832,1,1,1,1,1,0.9849261456117956,0.4293806261213445,0.4707200706613232,1.0,0.7482699383036748,0.8923970443166335,0.5711104556039605,0.9849261456117956,0.9849261456117956,1.0,1.0,1.0,1.0,0.9849261456117956,0.9849261456117956,0.9849261456117956
0.999973426844074,0.9849261456117956,1,1,0.6327895624700518,0.8855744833774746,1,1,1,1,1,0.9849261456117956,0.4288316759897522,0.4706027007306344,0.9994075369075368,0.7505431075794671,0.8941539136946923,0.565674622866167,0.9849261456117956,0.9849261456117956,1.0,1.0,1.0,1.0,0.9849261456117956,0.9849261456117956,0.9849261456117956
1.0,0.9849261456117956,1,1,0.6343342059366385,0.8906907635057324,1,1,1,1,1,0.9849261456117956,0.4273850174165322,0.4680795681158989,0.999864975930492,0.7479665309432902,0.8954438632308627,0.5674485701552568,0.9849261456117956,0.9849261456117956,1.0,1.0,1.0,1.0,0.9849261456117956,0.9849261456117956,0.9849261456117956
1.0,0.9849261456117956,1,1,0.6266159190380548,0.8902567899903889,1,1,1,1,1,0.9849261456117956,0.4282312029376216,0.470314390695205,0.9998780373393376,0.7510068711921783,0.8932611084670969,0.5653498908223519,0.9849261456117956,0.9849261456117956,1.0,1.0,1.0,1.0,0.9849261456117956,0.9849261456117956,0.9849261456117956
0.9999527122039846,0.9849261456117956,1,1,0.6325996924310853,0.8834779072283568,1,1,1,1,1,0.9849261456117956,0.4267693360566613,0.4688186485706915,1.0,0.7510556177753095,0.8915096434849836,0.566982664832634,0.9849261456117956,0.9849261456117956,1.0,1.0,1.0,1.0,0.9849261456117956,0.9849261456117956,0.9849261456117956
1.0,0.9849261456117956,1,1,0.6357381477158583,0.8902880712798253,1,1,1,1,1,0.9849261456117956,0.4297118261502399,0.4754584685911715,0.999264022205814,0.7508279977428504,0.8957281298930734,0.569922340755367,0.9849261456117956,0.9849261456117956,1.0,1.0,1.0,1.0,0.9849261456117956,0.9849261456117956,0.9849261456117956
1.0,0.9850479565327914,1,1,0.6223698986525981,0.8905629744188799,1,1,1,1,1,0.9850479565327914,0.4348552955418042,0.4692456934878071,0.9997770345596432,0.7501846759682925,0.8946283617463132,0.5631442725468002,0.9850479565327914,0.9850479565327914,1.0,1.0,1.0,1.0,0.9850479565327914,0.9850479565327914,0.9850479565327914
